Title,Conference/Journal,Authors
Preparation Design and Implementation of a Portable Microwave Sensor for Characterization of Edible Oils,"IEEE Sensors Letters, vol.8, no.12, pp.1-4, Dec 2024","Subha Mandal, Parthib Paul, Shreya Dhar"
"A low-cost, 3d Printed All-Dielectric Polarization Insensitive Ultra-Wideband Microwave Absorber",APS URSI 2025,Sagnik Chakrabaorty
