Title,Conference/Journal,Authors
An Ultra-Low Power Low Phase Noise Pseudoresistive Astable Multivibrator for MICS Band Wireless Sensor Node Applications,"IEMENTech 2025, Kolkata",Soumyojit Chatterjee
Design of a Flexible Metasurface Based Dual Bandpass Filter in ISM and 5G Cellular Band for Bio-Medical Applications,"IEMENTech 2025, Kolkata",Snehanshu Bhattacharjee
A Low Cost Printed Monopole Antenna on a Paper Substrate for ISM Band and 5G Communication Applications,"WAMS 2025, Kancheepuram",Swarnadeep Koley
