Title,Conference/Journal,Authors
A Brief Review on Smart Farming Technologies for Precision Agriculture,"IEMENTech 2025, Kolkata","Rishav Raj, Arijit Ghosh, Amar Pal"
FPGA-Based 3D EM/MPM Simulation Framework for Medical Image Segmentation Applications,"IEMENTech 2025, Kolkata","Saptarshi Banerjee, Ayantika Mondal, Satavisha Dutta, Sayak Nandi"
Development of a Cost-Effective and Portable Digital Storage Oscilloscope Using Raspberry Pi Pico and Mobile App,"IEMENTech 2025, Kolkata","Priyangshu Mazumder, Animesh Dutta, Soumyadeep Seth, Prativa Saha"
FPGA-Based Adaptive Traffic Management System for Optimizing Five-Point Intersection Flow,"IEMENTech 2025, Kolkata",Soumyojit Chatterjee
