Title,Conference/Journal,Authors
"A Comprehensive Analysis on Comparator, Encoder Circuit to Develop Flash Type ADC Based on Different Implementation Routes","SILCON 2024, Agartala",Siddhartha Bhattacharya
Noise Analysis of Bandgap Reference Circuit,"CODEC 2024, Kolkata",Uddipan Agasti
Design and Performance Analysis of Dynamic and Hybrid CMOS Threshold Logic Based Full Adder Circuit,"CODEC 2024, Kolkata",Siddhant Gayen
"A Comprehensive Analysis on Comparator, Encoder Circuit to Develop Flash Type ADC Based on Different Implementation Routes","SILCON 2024, Agartala",Siddhartha Bhattacharya
Design and FPGA Implementation of an Efficient Squarer Circuit Using Reversible Logic,"EDKCON 2024, Kolkata","Debjit Roy, Agnik Maity, Antarik Sinha"
Design and Implementation of an Efficient Quantum Cost Optimized Adder Using Reversible Logic Gates,"IEMENTech 2025, Kolkata","Shatavisha Dasgupta, Sourav Pandey, Debjit Roy, Agnik Maity, Antarik Sinha"
An Ultra-Low Power Low Phase Noise Pseudoresistive Astable Multivibrator for MICS Band Wireless Sensor Node Applications,"IEMENTech 2025, Kolkata","Soumyojit Chatterjee, Saugata Saha, Kushal Das"
Design and Fabrication of a 3D Printed Helical Antenna for 2.45 GHz ISM Band Applications with Circular Polarisation and High Gain,"MAC 2024, Dehradun",Subhradip Bal
