Title,Conference/Journal,Authors
Design of a Triple Band Microstrip Patch Antenna and Its Performance Enhancement Using Triple Band AMC for Wearable Applications,"IEMENTech 2025, Kolkata",Swarnadeep Koley
"Design of A Trishul Shape Triple-Band CPW-Fed Antenna for ISM Band, IOT and Satellite Communication","CALCON 2024, Kolkata",Sayan Kundu
A Miniaturized Microstrip Three-Way Equal Power Divider using Hybrid Lumped and Distributed Elements and Recombinant Topology,"CALCON 2024, Kolkata",Rahul Ghosh
Design of a Multi-band printed Yagi-Uda antenna for CubeSat Communication,"SILCON 2024, Agartala",Kajal Sinha
A reconfigurable triangular-circular microstrip patch antenna with two switches,"IEMENTech 2025, Kolkata",Pritam Sarkar
,"IEMENTech 2025, Kolkata",Pritam Sarkar
A Metasurface based Dual Band Stop Filter at ISM Bands for Wearable Applications,"WAMS 2025, Kancheepuram","Soham Banerjee, Sagnik Chakrabaorty"
